center_cls,neighbour_cls,attention,distance
cyst,cortex,0.007457422558218241,5
cyst,cortex,0.007354419212788343,6
cyst,cortex,0.008623266592621803,7
cyst,cortex,0.00944153219461441,8
cyst,angioinvasion,0.0,1
cyst,angioinvasion,0.0,2
cyst,angioinvasion,0.0,3
cyst,angioinvasion,0.0,4
cyst,angioinvasion,1.842896466541788e-07,5
cyst,angioinvasion,1.9596732272475492e-06,6
cyst,angioinvasion,3.1192234928312246e-06,7
cyst,angioinvasion,7.800845764904807e-07,8
cyst,mark,0.00014132774958852679,1
cyst,mark,0.00027094679535366595,2
cyst,mark,0.0008068228489719331,3
cyst,mark,0.0015172064304351807,4
cyst,mark,0.0022172443568706512,5
cyst,mark,0.003039699513465166,6
cyst,mark,0.004445209167897701,7
