center_cls,neighbour_cls,attention,distance
tumor_bleeding,tumor_vital,0.043006014078855515,4
tumor_bleeding,tumor_vital,0.03484830632805824,5
tumor_bleeding,tumor_vital,0.030171308666467667,6
tumor_bleeding,tumor_vital,0.03701549768447876,7
tumor_bleeding,tumor_vital,0.030207030475139618,8
tumor_bleeding,extrarenal,0.0017146449536085129,1
tumor_bleeding,extrarenal,0.003208974376320839,2
tumor_bleeding,extrarenal,0.004007316194474697,3
tumor_bleeding,extrarenal,0.006248646881431341,4
tumor_bleeding,extrarenal,0.006837490480393171,5
tumor_bleeding,extrarenal,0.007560959551483393,6
tumor_bleeding,extrarenal,0.0110408253967762,7
tumor_bleeding,extrarenal,0.010660952888429165,8
tumor_bleeding,cortex,0.0037087465170770884,1
tumor_bleeding,cortex,0.005452997516840696,2
tumor_bleeding,cortex,0.004224612843245268,3
tumor_bleeding,cortex,0.005573355592787266,4
tumor_bleeding,cortex,0.004718433134257793,5
tumor_bleeding,cortex,0.004339699167758226,6
tumor_bleeding,cortex,0.006464509293437004,7
tumor_bleeding,cortex,0.006559278815984726,8
tumor_bleeding,angioinvasion,0.0,1
tumor_bleeding,angioinvasion,3.5390375074939584e-08,2
tumor_bleeding,angioinvasion,2.4915490826060704e-07,3
tumor_bleeding,angioinvasion,2.412132516838028e-06,4
tumor_bleeding,angioinvasion,3.9346427911368664e-06,5
tumor_bleeding,angioinvasion,3.473637889328529e-06,6
tumor_bleeding,angioinvasion,4.009855729236733e-06,7
tumor_bleeding,angioinvasion,1.949128545675194e-06,8
tumor_bleeding,mark,0.000958880060352385,1
tumor_bleeding,mark,0.0019445490324869752,2
tumor_bleeding,mark,0.0016670821933075786,3
tumor_bleeding,mark,0.0024964609183371067,4
tumor_bleeding,mark,0.0030656929593533278,5
tumor_bleeding,mark,0.0033821675460785627,6
tumor_bleeding,mark,0.00560744060203433,7
tumor_bleeding,mark,0.005356362089514732,8
tumor_bleeding,tumor_regression,0.019717881456017494,1
tumor_bleeding,tumor_regression,0.022888513281941414,2
tumor_bleeding,tumor_regression,0.015084033831954002,3
tumor_bleeding,tumor_regression,0.01542508415877819,4
tumor_bleeding,tumor_regression,0.013290924951434135,5
tumor_bleeding,tumor_regression,0.01046591717749834,6
tumor_bleeding,tumor_regression,0.012695945799350739,7
tumor_bleeding,tumor_regression,0.011153023689985275,8
tumor_bleeding,capsule,0.0029075888451188803,1
tumor_bleeding,capsule,0.0038644354790449142,2
tumor_bleeding,capsule,0.0027290291618555784,3
tumor_bleeding,capsule,0.0030204893555492163,4
tumor_bleeding,capsule,0.0024575218558311462,5
tumor_bleeding,capsule,0.0019172216998413205,6
tumor_bleeding,capsule,0.0024948075879365206,7
tumor_bleeding,capsule,0.002475609304383397,8
tumor_necrosis,background,0.020096508786082268,1
tumor_necrosis,background,0.015024644322693348,2
tumor_necrosis,background,0.008313586935400963,3
tumor_necrosis,background,0.0083547905087471,4
tumor_necrosis,background,0.006833885796368122,5
